customer_name,customer_id,end_user,address_a,address_b,postal_city_a,postal_city_b,postal_code_a,postal_code_b,country_a,country_b,process_step,order_ref,product_group,product_name,original_process_step,tech,status,system,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,sent_OB,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp,salesperson_id
TDC AS,100300,TDC AS,60755468,382912518,TROMSØ,EVENES,9008,8536,NO,NO,In Execution,347570,Ethernet,Ethernet Aksess Fiber 10 Mbps on-nett,finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28963149,07.07.2015,06.01.2016,10.07.2015,28.01.2016,17.11.2015,18.12.2015,,,28.01.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC AS,285720606,338401740,OSLO,SKEDSMOKORSET,153,2019,NO,NO,Delivered,396773,Ethernet,Ethernet Aksess Fiber 200 Mbps on-nett,,Fiber,COMPLETED,SOS_SUGAR,28339082,21.03.2016,27.04.2016,22.03.2016,03.06.2016,27.04.2016,25.05.2016,24.05.2016,21.05.2016,03.06.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC AS,60755468,60755018,TROMSØ,TROMSØ,9008,9008,,,Finalizing,5503364,Ethernet,Ethernet Aksess Fiber 20 Mbps on-nett,complete order,Fiber,IN_PROGRESS,SOS_SUGAR,28993504,13.04.2016,09.05.2016,14.04.2016,02.06.2016,25.04.2016,24.05.2016,,13.05.2016,02.06.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC AS,285756896,103270862,OSLO,KONGSBERG,160,3616,,,In Execution,5503602,Ethernet,Ethernet Aksess Fiber 100 Mbps on-nett,finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28537893,27.04.2016,13.05.2016,28.04.2016,08.07.2016,13.05.2016,29.06.2016,,,08.07.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC AS,131265778,131273234,HARSTAD,HARSTAD,9405,9414,NO,NO,Finalizing,367977,Capacity,Bølgelengde 10 Gbps,complete order,Bølgelengde,IN_PROGRESS,SOS,10301238,14.01.2016,15.02.2016,25.01.2016,09.03.2016,15.02.2016,29.02.2016,,25.01.2016,09.03.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC AS,285756896,20135041,OSLO,MOSS,160,1599,,,Planning,5503725,Ethernet,Ethernet Aksess Fiber 100 Mbps on-nett,plan & design,Fiber,IN_PROGRESS,SOS,28756749,24.05.2016,,25.05.2016,,,,,,,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC,60755468,60762905,TROMSØ,TROMSØ,9008,9016,NO,NO,In Execution,357492,Ethernet,Ethernet Aksess Fiber 10 Mbps on-nett,finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28939840,29.10.2015,20.01.2016,25.11.2015,04.02.2016,04.12.2015,26.01.2016,,,04.02.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC,285756896,41761491,OSLO,SKIEN,160,3735,NO,NO,In Execution,399316,Ethernet,Ethernet Aksess Fiber 10 Mbps on-nett,finalize access,Fiber,IN_PROGRESS,SOS_SUGAR,28681419,11.04.2016,02.05.2016,12.04.2016,14.06.2016,02.05.2016,03.06.2016,,,14.06.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC,285756896,158998888,OSLO,ÅRNES,160,2150,NO,NO,Delivered,399402,Ethernet,Ethernet Aksess Fiber 100 Mbps on-nett,,Fiber,COMPLETED,SOS_SUGAR,28597975,12.04.2016,14.04.2016,14.04.2016,18.05.2016,14.04.2016,19.05.2016,18.05.2016,18.05.2016,30.05.2016,1,31.05.2016 08:23:10,1
TDC AS,100300,TDC,60739489,,TROMSØ,Harstad,9008,9403,NO,NO,Planning,397678,Ethernet,Ethernet Aksess Fiber 50 Mbps off-nett,plan & design,Fiber,IN_PROGRESS,SOS,,06.05.2016,,27.05.2016,,,,,,,1,31.05.2016 08:23:10,1
