customer_name,customer_id,end_user,address_a,address_b,postal_city_a,postal_city_b,postal_code_a,postal_code_b,country_a,country_b,process_step,order_ref,product_group,product_name,original_process_step,tech,status,system,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,sent_OB,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
DUSJHJØRNET AS,246958,DUSJHJØRNET AS,276379217,,TRONDHEIM,,7041,,NO,,In Execution,350774,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (OA),finalize access,DSL,IN_PROGRESS,LSD,32674487,24.08.2015,,,11.11.2015,27.08.2015,02.11.2015,,,11.11.2015,1,31.05.2016 08:23:10
LUX NORGE AS,267940,LUX Norge AS,417431704,,SARPSBORG,,1721,,,,In Execution,5502484,Internet,Internett Bedrift ADSL 2+ (oa),finalize access,DSL,IN_PROGRESS,LSD,32658189,04.01.2016,,,29.01.2016,06.01.2016,20.01.2016,,,29.01.2016,1,31.05.2016 08:23:10
FOLLESTAD TREND AS,11107006,FOLLESTAD TREND AS,92250401,,SKEDSMOKORSET,,2020,,NO,,In Execution,368544,Internet,Internett Bedrift ADSL 2+ opptil 12000/700 kbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63413677,20.01.2016,,,02.03.2016,25.01.2016,22.02.2016,,,02.03.2016,1,31.05.2016 08:23:10
De 3 stuer AS,244864,De 3 stuer AS,,,TRONDHEIM,,7042,,NO,,In Execution,369484,Internet,Internett Bedrift VDSL2 opptil 30/10 Mbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63495096,01.02.2016,,04.02.2016,02.03.2016,04.02.2016,02.06.2016,,,13.06.2016,1,31.05.2016 08:23:10
SHANGRI-LA RESTAURANT AS,269903,SHANGRI-LA RESTAURANT AS,17873171,,FREDRIKSTAD,,1607,,,,Delivered,372230,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),,DSL,COMPLETED,LSD,32654005,10.02.2016,03.05.2016,03.05.2016,11.05.2016,11.02.2016,02.05.2016,11.05.2016,11.05.2016,11.05.2016,1,31.05.2016 08:23:10
Kvantel AS,201839,Assuranceforeningen SKULD - Bergen,285687716,256946192,OSLO,BERGEN,0655,5014,,,Delivered,5502992,Ethernet,Ethernet SHDSL 20 Mbps (oa5),,DSL,COMPLETED,LSD,32652960,19.02.2016,10.05.2016,10.05.2016,31.05.2016,22.02.2016,09.05.2016,10.05.2016,10.05.2016,19.05.2016,1,31.05.2016 08:23:10
RYGGS TV TJENESTER,271135,RYGGS TV TJENESTER,332219393,,FROLAND,,4820,,,,Delivered,5503208,Internet,Internett Bedrift VDSL2 opptil 25/5 Mbps (ws),,DSL,COMPLETED,LSD,63451046,10.03.2016,04.05.2016,10.03.2016,13.05.2016,25.04.2016,04.05.2016,11.05.2016,11.05.2016,13.05.2016,1,31.05.2016 08:23:10
SR DISPLAY AS,271301,SR DISPLAY AS,285693634,,OSLO,,0667,,,,Delivered,395941,Internet,Internett Bedrift VDSL2 opptil 40/10 Mbps (OA),,DSL,COMPLETED,LSD,32746549,15.03.2016,25.05.2016,27.04.2016,19.04.2016,16.03.2016,25.05.2016,26.05.2016,26.05.2016,03.06.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,,,KNAPSTAD,,1823,,NO,,Delivered,397952,Internet,Internett Bedrift SHDSL 8 Mbps (ws),,DSL,COMPLETED,LSD,63457075,31.03.2016,18.05.2016,18.05.2016,10.05.2016,31.03.2016,13.05.2016,20.05.2016,20.05.2016,25.05.2016,1,31.05.2016 08:23:10
Læringsverkstedet AS,131,Læringsverkstedet AS,219162791,,FLEKKERØY,,4625,,NO,,In Execution,397976,Internet,Internett Bedrift SHDSL 8 Mbps (ws),finalize access,DSL,IN_PROGRESS,LSD,63457064,31.03.2016,,,10.05.2016,31.03.2016,01.06.2016,,,10.06.2016,1,31.05.2016 08:23:10
