customer_name,customer_id,order_ref,product_group,process_step,circuit_id,reg_date,plan_done_date,clean_order_date,agreed_date,agreed_installation_date,FM_date,finalize_access_date,latest_agreed_date,order_counter,last_update_timestamp
DUSJHJØRNET AS,1,350774_lsd,Internet,finalize access,32674487,24.08.2015,,,11.11.2015,02.11.2015,,,11.11.2015,1,"42486,858611111"
LUX NORGE AS,2,5502484_lsd,Internet,finalize access,32658189,04.01.2016,,,29.01.2016,20.01.2016,,,29.01.2016,1,"42486,858611111"
FOLLESTAD TREND AS,3,368544_lsd,Internet,finalize access,63413677,20.01.2016,,,02.03.2016,22.02.2016,,,02.03.2016,1,"42486,858611111"
De 3 stuer AS,4,369484_lsd,Internet,finalize access,63495096,01.02.2016,,04.02.2016,02.03.2016,02.06.2016,,,13.06.2016,1,"42486,858611111"
SR DISPLAY AS,5,395941_lsd,Internet,finalize access,32746549,15.03.2016,27.04.2016,27.04.2016,19.04.2016,25.05.2016,,,03.06.2016,1,"42486,858611111"
PETRE AS,6,5503236_lsd,Internet,plan & design,,22.03.2016,,,,,,,,1,"42486,858611111"
Læringsverkstedet AS,7,398261_lsd,Internet,plan & design,63455931,04.04.2016,,,10.05.2016,13.05.2016,,,25.05.2016,1,"42486,858611111"
DGC Systems Access,8,5503448_lsd,Ethernet,finalize access,32748544,06.04.2016,,06.04.2016,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
Clear Channel Norway AS,9,5503736_lsd,Internet,finalize access,32746322,28.04.2016,,,25.05.2016,13.05.2016,,,25.05.2016,1,"42486,858611111"
Kvantel AS,10,5503679_lsd,Ethernet,finalize access,32746320,28.04.2016,,28.04.2016,27.05.2016,18.05.2016,,,27.05.2016,1,"42486,858611111"
IT Kompaniet AS,11,5503849_lsd,Internet,finalize access,32745598,04.05.2016,,06.05.2016,31.05.2016,20.05.2016,,,31.05.2016,1,"42486,858611111"
PowerTech Information Systems,12,5503844_lsd,Ethernet,finalize access,32745501,06.05.2016,,09.05.2016,06.06.2016,26.05.2016,,,06.06.2016,1,"42486,858611111"
STIG NYSTRØM,13,403419_lsd,Internet,plan & design,,10.05.2016,,11.05.2016,,,,,,1,"42486,858611111"
BARTLEBY CORP. AS,14,404041_lsd,Internet,plan & design,32744551,18.05.2016,,,21.06.2016,10.06.2016,,,21.06.2016,1,"42486,858611111"
T.M BYGG AS,15,404043_lsd,Internet,finalize access,32744594,18.05.2016,,,10.08.2016,01.08.2016,,,10.08.2016,1,"42486,858611111"
AAFAG EIENDOM AS,16,404047_lsd,Internet,finalize access,32744595,18.05.2016,,,07.06.2016,27.05.2016,,,07.06.2016,1,"42486,858611111"
WALHALLA FRAKT AS,17,404074_lsd,Internet,plan & design,32744493,18.05.2016,,,10.06.2016,01.06.2016,,,10.06.2016,1,"42486,858611111"
INGENIØRFIRMA TPS AS,18,404080_lsd,Internet,plan & design,,18.05.2016,,,,,,,,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503910_lsd,Internet,finalize access,63495849,18.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
Norsk Luthersk Misjonssamband,19,5503914_lsd,Internet,complete order,32744591,18.05.2016,24.05.2016,24.05.2016,08.06.2016,30.05.2016,,,08.06.2016,1,"42486,858611111"
DGC Systems Access,8,5503961_lsd,Ethernet,plan & design,63494505,20.05.2016,,24.05.2016,27.06.2016,16.06.2016,,,27.06.2016,1,"42486,858611111"
FOLLESTAD TREND AS,3,404337_lsd,Internet,finalize access,63495095,23.05.2016,,,15.06.2016,06.06.2016,,,15.06.2016,1,"42486,858611111"
HERIGSTAD MEK AS,20,404380_lsd,Internet,plan & design,,23.05.2016,,,,,,,,1,"42486,858611111"
PERFECT BILVASK & BILPLEIE AS,21,5503978_lsd,Internet,finalize access,32744219,23.05.2016,,24.05.2016,17.06.2016,08.06.2016,,,17.06.2016,1,"42486,858611111"
Læringsverkstedet AS,7,404628_lsd,Internet,plan & design,,25.05.2016,,,,,,,,1,"42486,858611111"
Læringsverkstedet AS,7,404632_lsd,Internet,validate & disp.,,25.05.2016,,,,,,,,1,"42486,858611111"
PASTA HOUSE AS,22,5501211_lsd,Internet,finalize access,32673766,31.08.2015,,,12.10.2015,30.10.2015,,,10.11.2015,1,"42486,858611111"
ANITAS BLOMSTER OG BEGRAVELSESBYRÅ AS,23,357009_lsd,Internet,finalize access,63439766,22.10.2015,27.04.2016,27.04.2016,16.12.2015,07.12.2015,,,16.12.2015,1,"42486,858611111"
CROSSFIT TRONDHEIM AS,24,360122_lsd,Internet,finalize access,32662722,19.11.2015,,19.11.2015,28.12.2015,07.01.2016,,,18.01.2016,1,"42486,858611111"
Nutrimar AS,25,364350_lsd,Internet,finalize access,32744147,15.12.2015,,,22.01.2016,08.06.2016,,,17.06.2016,1,"42486,858611111"
BÅT OG CARAVAN TRAFFICKER AS,26,367295_lsd,Internet,finalize access,32658173,05.01.2016,,,15.02.2016,04.02.2016,,,15.02.2016,1,"42486,858611111"
ULMATEC SKIPSSERVICE AS,27,368353_lsd,Internet,finalize access,32656511,19.01.2016,,21.01.2016,10.03.2016,25.05.2016,,,03.06.2016,1,"42486,858611111"
PAY IT AS,28,368568_lsd,Internet,finalize access,32656457,21.01.2016,,,02.03.2016,22.02.2016,,,02.03.2016,1,"42486,858611111"
DET GODE SELSKAP AS,29,368802_lsd,Internet,finalize access,32656301,22.01.2016,,,01.03.2016,19.02.2016,,,01.03.2016,1,"42486,858611111"
LINQ ØST AS,30,5503183_lsd,Internet,finalize access,32650580,16.03.2016,,,12.04.2016,01.04.2016,,,12.04.2016,1,"42486,858611111"
